pharmacy_id,name,area,city,latitude,longitude,phone,open_hours,rating
PH0001,MedPlus - Saket,Saket,Delhi,28.558276,77.163157,+91-9017288737,24/7,3.5
PH0002,MedPlus - Madhapur,Jubilee Hills,Hyderabad,17.341798,78.45243,+91-9640119828,24/7,4.9
PH0003,MedPlus - Bandra,Bandra,Mumbai,19.106099,72.824654,+91-9941437276,24/7,4.2
PH0004,MedPlus - Adyar,Anna Nagar,Chennai,13.044319,80.245174,+91-7980751272,9AM-9PM,5.0
PH0005,MedPlus - Bandra,Worli,Mumbai,19.068134,72.930986,+91-9383649778,9AM-9PM,4.7
PH0006,MedPlus - Saket,Connaught Place,Delhi,28.611225,77.250587,+91-8286660243,9AM-9PM,3.7
PH0007,MedPlus - Rohini,Dwarka,Delhi,28.624087,77.228261,+91-7888992427,8AM-10PM,3.6
PH0008,MedPlus - Koramangala,Whitefield,Bangalore,12.932844,77.572335,+91-9277296972,9AM-9PM,4.2
PH0009,MedPlus - Jubilee Hills,Banjara Hills,Hyderabad,17.443163,78.510988,+91-7907543737,8AM-10PM,4.6
PH0010,MedPlus - Dadar,Dadar,Mumbai,19.044226,72.930473,+91-7957060772,8AM-10PM,3.9
PH0011,MedPlus - Connaught Place,Janakpuri,Delhi,28.643362,77.166336,+91-8651740828,24/7,4.8
PH0012,MedPlus - Jubilee Hills,Hitech City,Hyderabad,17.337909,78.51607,+91-9618355121,9AM-9PM,4.3
PH0013,MedPlus - Mylapore,Mylapore,Chennai,13.088617,80.277424,+91-8987117287,9AM-9PM,4.6
PH0014,MedPlus - Saket,Janakpuri,Delhi,28.600083,77.251091,+91-8763896104,9AM-9PM,3.6
PH0015,MedPlus - Anna Nagar,Adyar,Chennai,13.063162,80.309034,+91-8002928351,8AM-10PM,4.0
PH0016,MedPlus - Hitech City,Hitech City,Hyderabad,17.385078,78.542486,+91-8262963138,9AM-9PM,4.9
PH0017,MedPlus - Bandra,Dadar,Mumbai,19.037518,72.936697,+91-9018670763,8AM-10PM,4.9
PH0018,MedPlus - Andheri,Andheri,Mumbai,19.083861,72.925689,+91-7025181558,9AM-9PM,3.7
PH0019,MedPlus - Worli,Worli,Mumbai,19.112613,72.929127,+91-9730841248,24/7,3.8
PH0020,MedPlus - Velachery,Anna Nagar,Chennai,13.106973,80.289812,+91-9700299610,24/7,4.7
PH0021,MedPlus - HSR Layout,Koramangala,Bangalore,13.018296,77.636151,+91-7142579574,8AM-10PM,3.6
PH0022,MedPlus - HSR Layout,Whitefield,Bangalore,13.000499,77.596058,+91-9429968974,24/7,4.9
PH0023,MedPlus - Jubilee Hills,Banjara Hills,Hyderabad,17.405012,78.489463,+91-7638129579,24/7,4.6
PH0024,MedPlus - Velachery,Velachery,Chennai,13.033274,80.285196,+91-8022358945,9AM-9PM,4.8
PH0025,MedPlus - Mylapore,Anna Nagar,Chennai,13.043218,80.260677,+91-7499285909,24/7,4.7
PH0026,MedPlus - Koramangala,Indiranagar,Bangalore,13.011186,77.555191,+91-7257679894,9AM-9PM,4.9
PH0027,MedPlus - Adyar,Mylapore,Chennai,13.102048,80.24132,+91-8399966121,8AM-10PM,4.3
PH0028,MedPlus - Koramangala,Koramangala,Bangalore,12.99587,77.616283,+91-8211773101,8AM-10PM,3.8
PH0029,MedPlus - Jubilee Hills,Madhapur,Hyderabad,17.338322,78.478424,+91-9967230380,8AM-10PM,4.0
PH0030,MedPlus - Bandra,Andheri,Mumbai,19.076319,72.934698,+91-8285622908,8AM-10PM,4.9
PH0031,MedPlus - Adyar,Adyar,Chennai,13.061623,80.258031,+91-9515372629,8AM-10PM,4.1
PH0032,MedPlus - Anna Nagar,Mylapore,Chennai,13.056676,80.31029,+91-7964450256,9AM-9PM,4.0
PH0033,MedPlus - Hitech City,Kondapur,Hyderabad,17.344596,78.463178,+91-9003175971,8AM-10PM,4.3
PH0034,MedPlus - Connaught Place,Saket,Delhi,28.664909,77.208846,+91-8398425148,8AM-10PM,3.8
PH0035,MedPlus - Anna Nagar,Velachery,Chennai,13.100691,80.239642,+91-9650825897,24/7,4.1
PH0036,MedPlus - Velachery,T.Nagar,Chennai,13.042672,80.2137,+91-9296793621,24/7,4.0
PH0037,MedPlus - Andheri,Andheri,Mumbai,19.024878,72.893176,+91-7954393910,8AM-10PM,4.6
PH0038,MedPlus - Jayanagar,Koramangala,Bangalore,12.976086,77.592009,+91-9172643951,9AM-9PM,4.3
PH0039,MedPlus - Hitech City,Banjara Hills,Hyderabad,17.365279,78.457324,+91-9226313234,24/7,4.6
PH0040,MedPlus - Connaught Place,Connaught Place,Delhi,28.600061,77.265901,+91-7516107419,8AM-10PM,3.7
PH0041,MedPlus - Bandra,Bandra,Mumbai,19.018526,72.875583,+91-8065257000,8AM-10PM,4.0
PH0042,MedPlus - Dwarka,Connaught Place,Delhi,28.593404,77.26255,+91-9860425202,24/7,4.0
PH0043,MedPlus - HSR Layout,Koramangala,Bangalore,12.978001,77.560835,+91-8605335472,9AM-9PM,3.7
PH0044,MedPlus - HSR Layout,Indiranagar,Bangalore,12.921863,77.582839,+91-9094153926,9AM-9PM,4.1
PH0045,MedPlus - Koramangala,Indiranagar,Bangalore,12.927057,77.595093,+91-8576167390,9AM-9PM,4.3
PH0046,MedPlus - Hitech City,Hitech City,Hyderabad,17.443666,78.508817,+91-7309026977,8AM-10PM,4.1
PH0047,MedPlus - Rohini,Saket,Delhi,28.587839,77.155768,+91-8141541393,24/7,4.9
PH0048,MedPlus - Jayanagar,Whitefield,Bangalore,12.97816,77.54103,+91-8084936420,8AM-10PM,4.6
PH0049,MedPlus - Anna Nagar,Mylapore,Chennai,13.035277,80.223196,+91-8861988793,24/7,3.7
PH0050,MedPlus - Madhapur,Madhapur,Hyderabad,17.34907,78.466581,+91-8290800506,24/7,4.7
PH0051,MedPlus - Juhu,Dadar,Mumbai,19.078059,72.836909,+91-9952267268,24/7,4.8
PH0052,MedPlus - Janakpuri,Connaught Place,Delhi,28.669474,77.163383,+91-9179182585,8AM-10PM,4.3
PH0053,MedPlus - Rohini,Connaught Place,Delhi,28.582083,77.257557,+91-8815017802,24/7,4.2
PH0054,MedPlus - Anna Nagar,T.Nagar,Chennai,13.131932,80.302477,+91-7590557390,8AM-10PM,4.0
PH0055,MedPlus - Indiranagar,Jayanagar,Bangalore,12.953084,77.58657,+91-9388401401,9AM-9PM,3.8
PH0056,MedPlus - Worli,Bandra,Mumbai,19.129614,72.824345,+91-9205071192,8AM-10PM,3.8
PH0057,MedPlus - Indiranagar,HSR Layout,Bangalore,12.999444,77.573143,+91-9193462655,9AM-9PM,4.6
PH0058,MedPlus - Jubilee Hills,Banjara Hills,Hyderabad,17.41233,78.544726,+91-9275893997,8AM-10PM,4.1
PH0059,MedPlus - Indiranagar,Indiranagar,Bangalore,12.957713,77.651358,+91-9360417119,8AM-10PM,4.1
PH0060,MedPlus - Jayanagar,Koramangala,Bangalore,13.014358,77.553813,+91-7683583948,8AM-10PM,4.1
